"DateTime,""Players"",""Flags"",""Twitch Viewers"""
2017-01-22 00:00:00,789088,,690828
2017-01-23 00:00:00,721632,,686652
2017-01-24 00:00:00,707397,,765904
2017-01-25 00:00:00,720396,,710862
2017-01-26 00:00:00,676652,,429314
2017-01-27 00:00:00,734142,,741261
2017-01-28 00:00:00,786654,,867350
2017-01-29 00:00:00,814616,,1192643
2017-01-30 00:00:00,701556,,91651
2017-01-31 00:00:00,675395,,63535
2017-02-01 00:00:00,666562,,91622
2017-02-02 00:00:00,679929,,100944
2017-02-03 00:00:00,704161,,66209
2017-02-04 00:00:00,742866,,159160
2017-02-05 00:00:00,720854,,154460
2017-02-06 00:00:00,652628,,109542
2017-02-07 00:00:00,641999,,140228
2017-02-08 00:00:00,644625,,134475
2017-02-09 00:00:00,651139,,128472
2017-02-10 00:00:00,698016,,101641
2017-02-11 00:00:00,744468,,93014
2017-02-12 00:00:00,734782,,102316
2017-02-13 00:00:00,649498,,86117
2017-02-14 00:00:00,608329,,70081
2017-02-15 00:00:00,623082,,249344
2017-02-16 00:00:00,623666,,219885
2017-02-17 00:00:00,685443,,252398
2017-02-18 00:00:00,692532,,319489
2017-02-19 00:00:00,714208,,455406
2017-02-20 00:00:00,645868,,377497
2017-02-21 00:00:00,631794,,87675
2017-02-22 00:00:00,651285,,104485
2017-02-23 00:00:00,633032,,100871
2017-02-24 00:00:00,681548,,93701
2017-02-25 00:00:00,711755,,83362
2017-02-26 00:00:00,690779,,133159
2017-02-27 00:00:00,614436,,134985
2017-02-28 00:00:00,605217,,86687
2017-03-01 00:00:00,606439,,311127
2017-03-02 00:00:00,603688,,343105
2017-03-03 00:00:00,686031,,263908
2017-03-04 00:00:00,715449,,240044
2017-03-05 00:00:00,668776,,501499
2017-03-06 00:00:00,615829,,93550
2017-03-07 00:00:00,657426,,111099
2017-03-08 00:00:00,621064,,108389
2017-03-09 00:00:00,610761,,99969
2017-03-10 00:00:00,680655,,102943
2017-03-11 00:00:00,717597,,101279
2017-03-12 00:00:00,702023,,108533
2017-03-13 00:00:00,620293,,75671
2017-03-14 00:00:00,623902,,96837
2017-03-15 00:00:00,617890,,119866
2017-03-16 00:00:00,672521,,121731
2017-03-17 00:00:00,681259,,77031
2017-03-18 00:00:00,742356,,91718
2017-03-19 00:00:00,729305,,73710
2017-03-20 00:00:00,628774,,111979
2017-03-21 00:00:00,263988,,122863
2017-03-22 00:00:00,217547,,122950
2017-03-23 00:00:00,610454,,86164
2017-03-24 00:00:00,707789,,55648
2017-03-25 00:00:00,718526,,74461
2017-03-26 00:00:00,697758,,90312
2017-03-27 00:00:00,646662,,69409
2017-03-28 00:00:00,628450,,80740
2017-03-29 00:00:00,632688,,105427
2017-03-30 00:00:00,634066,,96724
2017-03-31 00:00:00,691424,,66501
2017-04-01 00:00:00,709841,,59258
2017-04-02 00:00:00,670980,,97920
2017-04-03 00:00:00,605519,,102950
2017-04-04 00:00:00,589725,,178176
2017-04-05 00:00:00,603084,,271031
2017-04-06 00:00:00,606153,,254414
2017-04-07 00:00:00,648400,,234657
2017-04-08 00:00:00,669903,,288186
2017-04-09 00:00:00,653292,,417562
2017-04-10 00:00:00,623083,,58531
2017-04-11 00:00:00,586229,,68202
2017-04-12 00:00:00,608500,,88667
2017-04-13 00:00:00,632507,,91010
2017-04-14 00:00:00,678017,,59420
2017-04-15 00:00:00,662140,,58249
2017-04-16 00:00:00,643858,,43597
2017-04-17 00:00:00,634384,,73748
2017-04-18 00:00:00,601773,,65660
2017-04-19 00:00:00,595795,,79601
2017-04-20 00:00:00,626863,,149226
2017-04-21 00:00:00,676578,,137092
2017-04-22 00:00:00,695235,,193032
2017-04-23 00:00:00,678710,,178846
2017-04-24 00:00:00,604982,,183120
2017-04-25 00:00:00,596141,,74513
2017-04-26 00:00:00,583886,,64480
